x,y,SNOW_ON_GROUND,SPEED_MAX_GUST,LOCAL_MONTH,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,STATION_NAME,MAX_TEMPERATURE,TOTAL_RAIN,ID,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,CLIMATE_IDENTIFIER,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MEAN_TEMPERATURE,LOCAL_DATE,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG
-66.08805555555556,43.82694444444444,,45,1,79,,17,,M,,60,YARMOUTH A,0.1,,8206496.2019.1.17,,,,NS,8206496,2019,,0,,,-12.8,31,,,-6.4,2019-01-17 00:00:00,24.4,,,
-66.08805555555556,43.82694444444444,,31,1,98,,18,,M,,57,YARMOUTH A,0.1,,8206496.2019.1.18,,,,NS,8206496,2019,,0,,,-10.3,12,,,-5.1,2019-01-18 00:00:00,23.1,,,
-66.08805555555556,43.82694444444444,,50,1,97,,19,,M,,50,YARMOUTH A,0.9,,8206496.2019.1.19,,,,NS,8206496,2019,,0,,,-9.8,34,,,-4.5,2019-01-19 00:00:00,22.5,,,
-66.08805555555556,43.82694444444444,,76,1,99,,20,,M,,62,YARMOUTH A,10,,8206496.2019.1.20,,,,NS,8206496,2019,,0,,,-8.1,17,,,1,2019-01-20 00:00:00,17,,,
-66.08805555555556,43.82694444444444,,41,1,99,,21,,M,,71,YARMOUTH A,2,,8206496.2019.1.21,,,,NS,8206496,2019,,0,,,-11.3,28,,,-4.7,2019-01-21 00:00:00,22.7,,,
-66.08805555555556,43.82694444444444,,62,1,81,,22,,M,,49,YARMOUTH A,-5.2,,8206496.2019.1.22,,,,NS,8206496,2019,,0,,,-11.5,33,,,-8.4,2019-01-22 00:00:00,26.4,,,
-66.08805555555556,43.82694444444444,,41,1,94,,23,,M,,64,YARMOUTH A,6.3,,8206496.2019.1.23,,,,NS,8206496,2019,,0,,,-9.2,21,,,-1.5,2019-01-23 00:00:00,19.5,,,
-66.08805555555556,43.82694444444444,,82,1,99,,24,,M,,90,YARMOUTH A,8.9,,8206496.2019.1.24,,,,NS,8206496,2019,,0,,,5.7,18,,,7.3,2019-01-24 00:00:00,10.7,,,
-66.08805555555556,43.82694444444444,,40,1,95,,25,,M,,56,YARMOUTH A,5.8,,8206496.2019.1.25,,,,NS,8206496,2019,,0,,,0.2,31,,,3,2019-01-25 00:00:00,15,,,
-66.08805555555556,43.82694444444444,,41,1,91,,26,,M,,52,YARMOUTH A,1.6,,8206496.2019.1.26,,,,NS,8206496,2019,,0,,,-4.6,24,,,-1.5,2019-01-26 00:00:00,19.5,,,
-66.08805555555556,43.82694444444444,,34,1,98,,27,,M,,53,YARMOUTH A,3.9,,8206496.2019.1.27,,,,NS,8206496,2019,,0,,,-4.6,14,,,-0.4,2019-01-27 00:00:00,18.4,,,
-66.08805555555556,43.82694444444444,,49,1,99,,28,,M,,50,YARMOUTH A,4.4,,8206496.2019.1.28,,,,NS,8206496,2019,,0,,,-7.3,35,,,-1.5,2019-01-28 00:00:00,19.5,,,
-66.08805555555556,43.82694444444444,,,1,89,,29,,M,,50,YARMOUTH A,-1,,8206496.2019.1.29,,,,NS,8206496,2019,,0,,,-10.1,,,,-5.6,2019-01-29 00:00:00,23.6,,,
-66.08805555555556,43.82694444444444,,,1,,M,30,M,M,,,YARMOUTH A,,,8206496.2019.1.30,M,,M,NS,8206496,2019,M,,,M,,,,,,2019-01-30 00:00:00,,M,M,M
-66.08805555555556,43.82694444444444,,65,1,83,,31,,M,,45,YARMOUTH A,-0.6,,8206496.2019.1.31,,,,NS,8206496,2019,,0,,,-10.1,26,,,-5.4,2019-01-31 00:00:00,23.4,,,
-66.08805555555556,43.82694444444444,,53,2,79,,1,,M,,47,YARMOUTH A,-5.1,,8206496.2019.2.1,,,,NS,8206496,2019,,0,,,-8.8,28,,,-7,2019-02-01 00:00:00,25,,,
-66.08805555555556,43.82694444444444,,60,2,91,,2,,M,,51,YARMOUTH A,-1.8,,8206496.2019.2.2,,,,NS,8206496,2019,,0,,,-8.5,33,,,-5.2,2019-02-02 00:00:00,23.2,,,
-66.08805555555556,43.82694444444444,,40,2,79,,3,,M,,51,YARMOUTH A,-2.7,,8206496.2019.2.3,,,,NS,8206496,2019,,0,,,-7.5,34,,,-5.1,2019-02-03 00:00:00,23.1,,,
-66.08805555555556,43.82694444444444,,31,2,97,,4,,M,,87,YARMOUTH A,4.9,,8206496.2019.2.4,,,,NS,8206496,2019,,0,,,-4,18,,,0.5,2019-02-04 00:00:00,17.5,,,
-66.08805555555556,43.82694444444444,,45,2,100,,5,,M,,79,YARMOUTH A,9.5,,8206496.2019.2.5,,,,NS,8206496,2019,,0,,,-0.3,21,,,4.6,2019-02-05 00:00:00,13.4,,,
-66.08805555555556,43.82694444444444,,37,2,87,,6,,M,,60,YARMOUTH A,2.1,,8206496.2019.2.6,,,,NS,8206496,2019,,0,,,-3.3,35,,,-0.6,2019-02-06 00:00:00,18.6,,,
-66.08805555555556,43.82694444444444,,34,2,97,,7,,M,,81,YARMOUTH A,1.3,,8206496.2019.2.7,,,,NS,8206496,2019,,0,,,-2.3,10,,,-0.5,2019-02-07 00:00:00,18.5,,,
-66.08805555555556,43.82694444444444,,52,2,99,,8,,M,,57,YARMOUTH A,5.7,,8206496.2019.2.8,,,,NS,8206496,2019,,0,,,0.1,30,,,2.9,2019-02-08 00:00:00,15.1,,,
-66.08805555555556,43.82694444444444,,74,2,71,,9,,M,,41,YARMOUTH A,0.1,,8206496.2019.2.9,,,,NS,8206496,2019,,0,,,-6.5,32,,,-3.2,2019-02-09 00:00:00,21.2,,,
-66.08805555555556,43.82694444444444,,60,2,52,,10,,M,,41,YARMOUTH A,-3,,8206496.2019.2.10,,,,NS,8206496,2019,,0,,,-6,32,,,-4.5,2019-02-10 00:00:00,22.5,,,
-66.08805555555556,43.82694444444444,,57,2,65,,11,,M,,42,YARMOUTH A,-4.6,,8206496.2019.2.11,,,,NS,8206496,2019,,0,,,-9.6,32,,,-7.1,2019-02-11 00:00:00,25.1,,,
-66.08805555555556,43.82694444444444,,32,2,93,,12,,M,,37,YARMOUTH A,1.2,,8206496.2019.2.12,,,,NS,8206496,2019,,0,,,-12.2,11,,,-5.5,2019-02-12 00:00:00,23.5,,,
-66.08805555555556,43.82694444444444,,77,2,98,,13,,M,,77,YARMOUTH A,4.1,,8206496.2019.2.13,,,,NS,8206496,2019,,0,,,-2.7,12,,,0.7,2019-02-13 00:00:00,17.3,,,
-66.08805555555556,43.82694444444444,,48,2,94,,14,,M,,54,YARMOUTH A,0,,8206496.2019.2.14,,,,NS,8206496,2019,,0,,,-3.6,28,,,-1.8,2019-02-14 00:00:00,19.8,,,
-66.08805555555556,43.82694444444444,,67,2,93,,15,,M,,62,YARMOUTH A,7.6,,8206496.2019.2.15,,,,NS,8206496,2019,,0,,,-7.2,18,,,0.2,2019-02-15 00:00:00,17.8,,,
