,T_min,T_max,R_s
2007-08-07,12.5,20.8,20.433600000000002
2007-08-08,11.9,19.6,7.524
2007-08-09,10.9,20.4,27.792
2007-08-10,9.2,22.4,17.73
2007-08-11,9.2,19.4,27.0792
2007-08-12,12.3,22.1,26.4492
2007-08-13,13.8,19.3,9.09
2007-08-14,11.3,21.5,26.2764
2007-08-15,11.0,21.1,21.726
2007-08-16,14.2,24.2,20.1204
2007-08-17,12.8,20.2,8.305200000000001
2007-08-18,10.9,15.4,4.9392
2007-08-19,10.8,15.7,26.442
2007-08-20,7.7,17.8,26.154
2007-08-21,7.7,21.0,24.4404
2007-08-22,7.1,21.1,25.596
2007-08-23,9.0,21.0,23.0364
2007-08-24,15.6,18.4,6.2316
2007-08-25,15.6,20.6,15.0912
2007-08-26,16.2,21.1,14.7204
2007-08-27,13.3,25.2,24.1704
2007-08-28,10.7,24.4,24.4224
2007-08-29,10.4,23.2,23.7744
2007-08-30,15.9,23.9,15.9516
2007-08-31,16.1,22.1,4.806
2007-09-01,11.1,19.6,19.062
2007-09-02,9.3,17.8,23.526
2007-09-03,12.4,18.1,22.7232
2007-09-04,11.5,17.8,20.7576
2007-09-05,6.7,15.5,23.4144
2007-09-06,6.1,17.6,22.1436
2007-09-07,12.9,19.2,16.9956
2007-09-08,14.6,20.6,18.284399999999998
2007-09-09,14.2,24.7,13.3524
2007-09-10,15.0,21.6,10.6992
2007-09-11,13.9,21.8,7.3728
2007-09-12,12.3,17.5,21.1032
2007-09-13,7.7,17.5,21.5784
2007-09-14,6.1,19.5,21.0276
2007-09-15,10.5,19.4,2.7828
2007-09-16,7.0,14.0,18.8676
2007-09-17,5.5,17.6,20.9628
2007-09-18,6.6,19.4,20.5128
2007-09-19,11.7,18.7,15.606
2007-09-20,12.2,17.3,8.773200000000001
2007-09-21,10.6,20.9,17.658
2007-09-22,8.4,17.0,6.336
2007-09-23,12.4,18.1,15.6564
2007-09-24,11.1,15.5,15.030000000000001
2007-09-25,10.7,19.7,17.5536
2007-09-26,13.8,19.6,16.4196
2007-09-27,12.7,21.9,8.6796
2007-09-28,11.9,19.5,6.973199999999999
2007-09-29,8.0,15.4,17.9028
2007-09-30,3.3,13.6,18.4284
2007-10-01,2.7,14.7,16.092
2007-10-02,6.6,18.2,13.0356
2007-10-03,11.4,21.2,9.0684
2007-10-04,10.2,16.6,9.9756
2007-10-05,7.8,19.9,16.7652
2007-10-06,9.1,20.7,13.1976
2007-10-07,3.8,12.0,15.1776
2007-10-08,3.3,11.8,11.7612
2007-10-09,5.3,15.5,14.8212
2007-10-10,10.2,15.1,4.374
2007-10-11,10.9,16.4,6.8292
2007-10-12,10.9,17.1,3.5172
2007-10-13,3.4,11.4,15.0084
2007-10-14,2.6,11.6,13.3308
2007-10-15,6.2,10.0,9.5652
2007-10-16,6.9,11.3,14.8752
2007-10-17,6.2,11.6,14.616
2007-10-18,5.8,15.3,13.816799999999999
2007-10-19,5.1,17.1,3.4056
2007-10-20,11.7,17.3,3.132
2007-10-21,11.5,15.3,13.698
2007-10-22,11.2,17.7,13.2804
2007-10-23,11.7,17.1,7.6464
2007-10-24,9.2,14.9,3.366
2007-10-25,3.1,12.3,3.5820000000000003
2007-10-26,1.9,14.2,13.118400000000001
2007-10-27,3.5,16.0,3.5748
2007-10-28,4.3,14.8,11.628
2007-10-29,2.1,6.2,9.3132
2007-10-30,-1.4,10.8,8.0676
2007-10-31,-0.9,11.8,8.2584
2007-11-01,7.7,15.1,4.4532
2007-11-02,2.5,8.5,10.7352
2007-11-03,3.2,19.3,1.314
2007-11-04,1.5,11.8,8.0784
2007-11-05,-0.3,9.5,9.18
2007-11-06,-1.1,12.7,2.4156
2007-11-07,3.9,10.9,8.9604
2007-11-08,0.4,6.9,7.5168
2007-11-09,-2.6,5.7,8.071200000000001
2007-11-10,-0.3,2.6,1.782
2007-11-11,-0.1,2.1,3.2256
2007-11-12,-2.9,3.7,9.6264
2007-11-13,2.4,8.7,1.3824
2007-11-14,0.7,10.4,7.7328
2007-11-15,10.3,15.0,6.7068
2007-11-16,3.2,16.8,2.1276
2007-11-17,1.6,5.7,5.958
2007-11-18,-2.0,4.7,9.1008
2007-11-19,-3.2,3.0,9.0432
2007-11-20,-2.9,3.8,5.724
2007-11-21,0.9,6.9,3.8664
2007-11-22,4.8,12.3,1.4076
2007-11-23,-0.9,10.3,2.7432
2007-11-24,-4.4,-0.9,4.3128
2007-11-25,-3.4,6.6,4.6331999999999995
2007-11-26,2.8,11.7,1.4436
2007-11-27,4.8,13.0,1.3608
2007-11-28,-5.2,5.4,8.6652
2007-11-29,-5.5,8.9,2.3112
2007-11-30,0.0,6.8,4.068
2007-12-01,-7.2,5.3,2.6568
2007-12-02,-7.2,0.9,4.0716
2007-12-03,-6.6,5.1,0.8388
2007-12-04,-2.3,2.4,2.3904
2007-12-05,-3.0,1.1,3.8087999999999997
2007-12-06,-4.3,0.7,2.6316
2007-12-07,-6.5,3.1,3.222
2007-12-08,-1.0,4.1,3.3588
2007-12-09,-7.0,-1.0,3.5172
2007-12-10,-9.9,-4.3,2.1168
2007-12-11,-7.6,0.5,2.7108
2007-12-12,-3.8,6.2,3.402
2007-12-13,-10.4,-3.8,3.7872000000000003
2007-12-14,-12.0,3.2,3.4452
2007-12-15,-12.2,0.7,2.4012000000000002
2007-12-16,-11.7,8.3,3.15
2007-12-17,-5.4,4.5,3.744
2007-12-18,-5.8,-3.6,6.8759999999999994
2007-12-19,-10.0,-1.5,1.8504
2007-12-20,-6.0,0.1,1.1844
2007-12-21,-12.3,-2.1,5.6916
2007-12-22,-13.9,-0.5,6.4116
2007-12-23,-8.3,8.4,5.166
2007-12-24,3.3,10.2,5.7636
2007-12-25,-1.4,5.6,6.9408
2007-12-26,-4.8,4.2,7.2864
2007-12-27,-1.4,0.9,1.3392
2007-12-28,-3.6,0.8,2.0016
2007-12-29,-3.1,7.3,0.9324
2007-12-30,-1.2,5.0,6.3936
2007-12-31,-1.3,1.1,1.1592
2008-01-01,-6.0,2.3,7.0812
2008-01-02,-9.7,5.0,1.8936
2008-01-03,-14.3,-9.7,3.96
2008-01-04,-14.6,0.0,2.1384
2008-01-05,-1.5,2.4,1.5372
2008-01-06,-2.3,6.1,5.7888
2008-01-07,-2.1,8.0,3.6756
2008-01-08,2.3,9.5,6.948
2008-01-09,5.5,10.7,2.8188
2008-01-10,0.5,6.6,8.1
2008-01-11,-1.5,11.1,1.3428
2008-01-12,1.5,7.6,4.9032
2008-01-13,-3.6,3.2,8.3664
2008-01-14,-3.3,-0.3,1.6308
2008-01-15,-3.9,-1.8,2.0700000000000003
2008-01-16,-3.6,-1.5,2.2464
2008-01-17,-9.1,-1.1,6.858
2008-01-18,-2.1,7.9,1.4112
2008-01-19,-1.0,1.6,4.3632
2008-01-20,-9.6,1.5,3.0492
2008-01-21,-12.6,-5.4,3.456
2008-01-22,-6.4,4.6,2.214
2008-01-23,-1.9,3.1,9.0612
2008-01-24,-7.8,-1.6,6.5952
2008-01-25,-10.8,-3.1,5.0508
2008-01-26,-12.3,-3.6,8.73
2008-01-27,-13.4,-3.3,5.5512
2008-01-28,-3.4,0.6,2.3256
2008-01-29,-1.3,1.0,4.8384
2008-01-30,-0.4,8.8,2.5740000000000003
2008-01-31,-5.3,1.1,10.656
